CurrencyName,SecurityName,ReportingCurrency
OB1USD,ccy://RMG/OB1USD,true
MTL,ccy://RMG/MTL,true
ZMW,ccy://RMG/ZMW,true
VES,ccy://RMG/VES,true
ILS,ccy://RMG/ILS,true
GHS,ccy://RMG/GHS,true
ECS,ccy://RMG/ECS,true
MVR,ccy://RMG/MVR,true
KRW,ccy://RMG/KRW,true
INR,ccy://RMG/INR,true
MWK,ccy://RMG/MWK,true
EEK,ccy://RMG/EEK,true
MUR,ccy://RMG/MUR,true
CAD,ccy://RMG/CAD,true
MXV,ccy://RMG/MXV,true
CDF,ccy://RMG/CDF,true
AUD8,ccy://RMG/AUD8,true
GMD,ccy://RMG/GMD,true
EGP,ccy://RMG/EGP,true
FKC1,ccy://RMG/FKC1,true
MXN,ccy://RMG/MXN,true
SRMUSD,ccy://RMG/SRMUSD,true
DXY,ccy://RMG/DXY,true
UZS,ccy://RMG/UZS,true
UYU,ccy://RMG/UYU,true
KES,ccy://RMG/KES,true
OMR,ccy://RMG/OMR,true
SVC,ccy://RMG/SVC,true
BTN,ccy://RMG/BTN,true
XAU,ccy://RMG/XAU,true
BWP,ccy://RMG/BWP,true
KHR,ccy://RMG/KHR,true
IDR,ccy://RMG/IDR,true
NEAUSD,ccy://RMG/NEAUSD,true
NZD8,ccy://RMG/NZD8,true
MKD,ccy://RMG/MKD,true
DZD,ccy://RMG/DZD,true
KGS,ccy://RMG/KGS,true
XAF,ccy://RMG/XAF,true
XAG,ccy://RMG/XAG,true
SZL,ccy://RMG/SZL,true
MNT,ccy://RMG/MNT,true
XSIUSD,ccy://RMG/XSIUSD,true
GBP,ccy://RMG/GBP,true
BYN,ccy://RMG/BYN,true
MMK,ccy://RMG/MMK,true
SYP,ccy://RMG/SYP,true
XCD,ccy://RMG/XCD,true
IEP,ccy://RMG/IEP,true
XDR,ccy://RMG/XDR,true
XOUUSD,ccy://RMG/XOUUSD,true
BZD,ccy://RMG/BZD,true
MOP,ccy://RMG/MOP,true
XETUSD,ccy://RMG/XETUSD,true
EUR9,ccy://RMG/EUR9,true
EUR8,ccy://RMG/EUR8,true
BMD,ccy://RMG/BMD,true
DOP,ccy://RMG/DOP,true
XMAUSD,ccy://RMG/XMAUSD,true
MAD,ccy://RMG/MAD,true
INR9,ccy://RMG/INR9,true
TWD8,ccy://RMG/TWD8,true
BOB,ccy://RMG/BOB,true
MDL,ccy://RMG/MDL,true
XDTUSD,ccy://RMG/XDTUSD,true
USD,ccy://RMG/USD,true
BND,ccy://RMG/BND,true
XAUSHA95,ccy://RMG/XAUSHA95,true
SRD,ccy://RMG/SRD,true
MXV1,ccy://RMG/MXV1,true
ZAR,ccy://RMG/ZAR,true
BSD,ccy://RMG/BSD,true
BRL5,ccy://RMG/BRL5,true
MGA,ccy://RMG/MGA,true
XARUSD,ccy://RMG/XARUSD,true
BRL,ccy://RMG/BRL,true
BDT,ccy://RMG/BDT,true
BEF,ccy://RMG/BEF,true
SEK,ccy://RMG/SEK,true
QAR,ccy://RMG/QAR,true
XAUSHA,ccy://RMG/XAUSHA,true
SGD,ccy://RMG/SGD,true
CAD9,ccy://RMG/CAD9,true
USCUSD,ccy://RMG/USCUSD,true
HRK,ccy://RMG/HRK,true
HUF,ccy://RMG/HUF,true
NIKKEI,ccy://RMG/NIKKEI,true
BIF,ccy://RMG/BIF,true
BGN,ccy://RMG/BGN,true
DKK,ccy://RMG/DKK,true
HTG,ccy://RMG/HTG,true
BHD,ccy://RMG/BHD,true
SIT,ccy://RMG/SIT,true
SLL,ccy://RMG/SLL,true
SLE,ccy://RMG/SLE,true
SKK,ccy://RMG/SKK,true
WST,ccy://RMG/WST,true
FRF,ccy://RMG/FRF,true
JMD,ccy://RMG/JMD,true
PYG,ccy://RMG/PYG,true
GBP8,ccy://RMG/GBP8,true
AZN,ccy://RMG/AZN,true
UAH,ccy://RMG/UAH,true
GBPL,ccy://RMG/GBPL,true
HKD,ccy://RMG/HKD,true
TETUSD,ccy://RMG/TETUSD,true
JOD,ccy://RMG/JOD,true
LRD,ccy://RMG/LRD,true
XAAUSD,ccy://RMG/XAAUSD,true
LTL,ccy://RMG/LTL,true
SAR,ccy://RMG/SAR,true
JPY,ccy://RMG/JPY,true
SBD,ccy://RMG/SBD,true
LUF,ccy://RMG/LUF,true
LSL,ccy://RMG/LSL,true
XSAUSD,ccy://RMG/XSAUSD,true
BBD,ccy://RMG/BBD,true
UGX,ccy://RMG/UGX,true
HNL,ccy://RMG/HNL,true
FIM,ccy://RMG/FIM,true
EUZ1,ccy://RMG/EUZ1,true
DEM,ccy://RMG/DEM,true
BAM,ccy://RMG/BAM,true
NZD,ccy://RMG/NZD,true
FJD,ccy://RMG/FJD,true
LVL,ccy://RMG/LVL,true
SCR,ccy://RMG/SCR,true
NLG,ccy://RMG/NLG,true
JPZ1,ccy://RMG/JPZ1,true
IDR.BH,ccy://RMG/IDR.BH,true
RUB,ccy://RMG/RUB,true
XWNUSD,ccy://RMG/XWNUSD,true
ARS,ccy://RMG/ARS,true
XSSUSD,ccy://RMG/XSSUSD,true
AUD,ccy://RMG/AUD,true
TZS,ccy://RMG/TZS,true
CYP,ccy://RMG/CYP,true
RWF,ccy://RMG/RWF,true
CNY.BH,ccy://RMG/CNY.BH,true
ATS,ccy://RMG/ATS,true
YER,ccy://RMG/YER,true
AWG,ccy://RMG/AWG,true
NPR,ccy://RMG/NPR,true
PTX,ccy://RMG/PTX,true
NOK,ccy://RMG/NOK,true
LKR,ccy://RMG/LKR,true
CZK,ccy://RMG/CZK,true
PTE,ccy://RMG/PTE,true
CNH7,ccy://RMG/CNH7,true
ATOUSD,ccy://RMG/ATOUSD,true
JPY8,ccy://RMG/JPY8,true
CNY,ccy://RMG/CNY,true
PHP,ccy://RMG/PHP,true
ESP,ccy://RMG/ESP,true
XFWUSD,ccy://RMG/XFWUSD,true
CN1,ccy://RMG/CN1,true
TOP,ccy://RMG/TOP,true
PGK,ccy://RMG/PGK,true
CNM,ccy://RMG/CNM,true
CNH,ccy://RMG/CNH,true
GYD,ccy://RMG/GYD,true
AMD,ccy://RMG/AMD,true
TRY,ccy://RMG/TRY,true
LBP,ccy://RMG/LBP,true
EUR,ccy://RMG/EUR,true
XUSUSD,ccy://RMG/XUSUSD,true
COU,ccy://RMG/COU,true
XLKUSD,ccy://RMG/XLKUSD,true
COP,ccy://RMG/COP,true
ETB,ccy://RMG/ETB,true
VUV,ccy://RMG/VUV,true
LAK,ccy://RMG/LAK,true
ALL,ccy://RMG/ALL,true
TTD,ccy://RMG/TTD,true
AOA,ccy://RMG/AOA,true
PLN,ccy://RMG/PLN,true
RON,ccy://RMG/RON,true
ANG,ccy://RMG/ANG,true
NGN,ccy://RMG/NGN,true
CRC,ccy://RMG/CRC,true
PKR,ccy://RMG/PKR,true
TW7,ccy://RMG/TW7,true
TWD,ccy://RMG/TWD,true
RSD,ccy://RMG/RSD,true
CUP,ccy://RMG/CUP,true
LNAUSD,ccy://RMG/LNAUSD,true
PHAUSD,ccy://RMG/PHAUSD,true
NIO,ccy://RMG/NIO,true
XBTUSD,ccy://RMG/XBTUSD,true
XPD,ccy://RMG/XPD,true
XPF,ccy://RMG/XPF,true
THB,ccy://RMG/THB,true
KWD,ccy://RMG/KWD,true
THO,ccy://RMG/THO,true
ISK,ccy://RMG/ISK,true
XPT,ccy://RMG/XPT,true
MYR,ccy://RMG/MYR,true
XOF,ccy://RMG/XOF,true
MZN,ccy://RMG/MZN,true
GNF,ccy://RMG/GNF,true
VND,ccy://RMG/VND,true
KYD,ccy://RMG/KYD,true
AED,ccy://RMG/AED,true
TJS,ccy://RMG/TJS,true
PAB,ccy://RMG/PAB,true
ITL,ccy://RMG/ITL,true
CHF,ccy://RMG/CHF,true
KZT,ccy://RMG/KZT,true
HXRUSD,ccy://RMG/HXRUSD,true
ZWG,ccy://RMG/ZWG,true
ZWL,ccy://RMG/ZWL,true
GRD,ccy://RMG/GRD,true
YFIUSD,ccy://RMG/YFIUSD,true
MXNF,ccy://RMG/MXNF,true
TND,ccy://RMG/TND,true
GTQ,ccy://RMG/GTQ,true
CLP,ccy://RMG/CLP,true
CNY8,ccy://RMG/CNY8,true
CNY7,ccy://RMG/CNY7,true
HKD8,ccy://RMG/HKD8,true
OE1USD,ccy://RMG/OE1USD,true
NAD,ccy://RMG/NAD,true
XOPUSD,ccy://RMG/XOPUSD,true
PEN,ccy://RMG/PEN,true
CLF,ccy://RMG/CLF,true
MRU,ccy://RMG/MRU,true
KMF,ccy://RMG/KMF,true
GEL,ccy://RMG/GEL,true
