pricedSecurityName,PartitionKey,AsOfDate,FxHedgingPercent,EnrichmentStatus,InputModel,OutputModel,EnrichmentInputId,EnrichmentInputIdType,EnrichmentMessages,RMG_SecurityIsProxied,SecurityUpdateTimestamp,EnrichedRML,IsFxModel
ccy://RMG/SUS1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SUS1""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/ZMW,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>ZMW</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/ZMW</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/BOCARS,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCARS""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/DKK4,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DKK4""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/AUD4,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUD4""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/AUD_SL,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUD_SL""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/SAVE1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SAVE1""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/KRW,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,"<security><calibratedModel><cashModel xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:common=""urn:RiskMetricsDirect:1.0:common-types"" xmlns:xlink=""http://www.w3.org/1999/xlink""><currency>KRW</currency><quantity>1.0</quantity></cashModel></calibratedModel><pricingDataList><pricingData><pricedSecurityName>ccy://RMG/KRW</pricedSecurityName></pricingData></pricingDataList><customBucketList>
<customBucket>
<customDimensionName>TEST_FM_BUCKET1</customDimensionName>
<customBucketValue>testFMBucket</customBucketValue>
</customBucket>
</customBucketList>
</security>",false
ccy://RMG/DOT1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DOT1""",false,2024-11-20T10:55:10.533748500,N/A,false
ccy://RMG/AK13,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK13""",false,2024-11-20T10:55:10.533748500,N/A,false
