SecurityName,DimensionsMask,StatName,AsOfDate,Vector
ccy://RMG/BMD,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
ccy://RMG/NEAUSD,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
ccy://RMG/FRF,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{7.06253970566E-4, ...}"
ccy://RMG/CLF,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.309157159973, ...}"
ccy://RMG/XAUSHA95,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.745078324535, ...}"
ccy://RMG/IDR,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{1.50592960674E-7, ...}"
ccy://RMG/AOA,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{-3.00033168155E-6, ...}"
ccy://RMG/AWG,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
ccy://RMG/UYU,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{4.8611282965E-5, ...}"
ccy://RMG/SRD,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{-5.18927786037E-5, ...}"
ccy://RMG/CN1,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{6.2463162136E-5, ...}"
(102457:2583)-332,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
(102457:2583)-334,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
ccy://RMG/ISK,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{2.3236189558E-5, ...}"
ccy://RMG/MXN,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.00105199368783, ...}"
ccy://RMG/OMR,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{2.18568630048E-4, ...}"
ccy://RMG/LTL,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.00134401350163, ...}"
ccy://RMG/XWNUSD,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
ccy://RMG/CAD9,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{0.0, ...}"
ccy://RMG/CDF,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{4.79793625038E-6, ...}"
ccy://RMG/PKR,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{1.12471473238E-6, ...}"
ccy://RMG/DZD,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{-1.68780123622E-6, ...}"
ccy://RMG/KMF,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{9.41677212603E-6, ...}"
ccy://RMG/CNY.BH,,AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO,2024-09-02,"doubleVector[1000]{4.34523820481E-5, ...}"
