AsOf,TradeId,TradeDate,CounterpartyId,Desk,Portfolio,Numerical
2019-01-02,1,2018-06-08,Cpty_1,Desk_1,PF_1,5
2019-01-02,2,2018-07-02,Cpty_1,Desk_1,PF_1,6
2019-01-02,3,2018-08-23,Cpty_2,Desk_1,PF_2,7
2019-01-02,4,2018-09-20,Cpty_2,Desk_1,PF_2,8
2019-01-02,5,2018-10-03,Cpty_3,Desk_1,PF_3,9
2019-01-02,6,2018-06-08,Cpty_1,Desk_2,PF_4,10
2019-01-02,7,2018-07-02,Cpty_1,Desk_2,PF_5,11
2019-01-02,8,2018-08-23,Cpty_2,Desk_2,PF_5,12
2019-01-02,9,2018-09-20,Cpty_2,Desk_2,PF_5,13
2019-01-02,10,2018-10-03,Cpty_3,Desk_2,PF_6,14
2019-01-02,11,2018-06-08,Cpty_1,Desk_1,PF_1,5
2019-01-02,12,2018-07-02,Cpty_1,Desk_1,PF_1,6
2019-01-02,13,2018-08-23,Cpty_2,Desk_1,PF_2,7
2019-01-02,14,2018-09-20,Cpty_2,Desk_1,PF_2,8
2019-01-02,15,2018-10-03,Cpty_3,Desk_1,PF_3,9
2019-01-02,16,2018-06-08,Cpty_1,Desk_2,PF_4,10
2019-01-02,17,2018-07-02,Cpty_1,Desk_2,PF_5,11
2019-01-02,18,2018-08-23,Cpty_2,Desk_2,PF_5,12
2019-01-02,19,2018-09-20,Cpty_2,Desk_2,PF_5,13
2019-01-02,20,2018-10-03,Cpty_3,Desk_2,PF_6,14
2019-01-02,21,2018-06-08,Cpty_1,Desk_1,PF_1,5
2019-01-02,22,2018-07-02,Cpty_1,Desk_1,PF_1,6
2019-01-02,23,2018-08-23,Cpty_2,Desk_1,PF_2,7
2019-01-02,24,2018-09-20,Cpty_2,Desk_1,PF_2,8
2019-01-02,25,2018-10-03,Cpty_3,Desk_1,PF_3,9
2019-01-02,26,2018-06-08,Cpty_1,Desk_2,PF_4,10
2019-01-02,27,2018-07-02,Cpty_1,Desk_2,PF_5,11
2019-01-02,28,2018-08-23,Cpty_2,Desk_2,PF_5,12
2019-01-02,29,2018-09-20,Cpty_2,Desk_2,PF_5,13
2019-01-02,30,2018-10-03,Cpty_3,Desk_2,PF_6,14
