AsOf,TradeId,Notional
2019-01-02,1,10001
2019-01-02,2,20001
2019-01-02,3,10001
2019-01-02,4,50001
2019-01-02,5,20001
2019-01-02,6,50001
2019-01-02,7,6001
2019-01-02,8,3501
2019-01-02,9,25001
2019-01-02,10,23001
2019-01-02,11,10002
2019-01-02,12,20002
2019-01-02,13,10002
2019-01-02,14,50002
2019-01-02,15,20002
2019-01-02,16,50002
2019-01-02,17,6002
2019-01-02,18,3502
2019-01-02,19,25002
2019-01-02,20,23003
2019-01-02,21,10003
2019-01-02,22,20003
2019-01-02,23,10003
2019-01-02,24,50003
2019-01-02,25,20003
2019-01-02,26,50003
2019-01-02,27,6003
2019-01-02,28,3503
2019-01-02,29,25003
2019-01-02,30,23003
