Portfolio,HoldingId,HoldingUniqueName,BaseHoldingUniqueName,BaseHoldingId,Amount,IsRelative,IsShortBase,IsBlend,IsFilter,IsShareClassArtificial,IsHoldingGroupByWeightedHolding,BasePortfolio,BenchmarkPortfolio,BenchmarkMethod,BaseBenchmark,FxHedgingPercent,RawFxHedgingPercent,BlendLoadStatus,BlendLoadMessage,LookThroughPortfolio,LookThroughLoadStatus,LookThroughLoadMessage,ProcessDate,HoldingUpdateTimestamp,HoldingSource,Holding Path,Level0,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,FundLevel0,FundLevel1,FundLevel2,FundLevel3,FundLevel4,FundLevel5,FundLevel6,FundLevel7,FundLevel8,FundLevel9,FundLevel10,PartitionKey,AsOfDate
EQ-Oil & Gas exploration Fund,3087028_3087062,"MemberUniqueName{id='3087028_3087062', name='Northern Oil and Gas Ord Shs'}","MemberUniqueName{id='3087028_3087062', name='Northern Oil and Gas Ord Shs'}",3087028_3087062,37169.54852,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.350030900,Test blend-202112310 - Copy.xml,3087028_3087062,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Northern Oil and Gas Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,10,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087038,"MemberUniqueName{id='3087028_3087038', name='Chevron Ord Shs'}","MemberUniqueName{id='3087028_3087038', name='Chevron Ord Shs'}",3087028_3087038,28397.42224,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.367540400,Test blend-202112310 - Copy.xml,3087028_3087038,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Chevron Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,10,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087080,"MemberUniqueName{id='3087028_3087080', name='World Fuel Services Ord Shs'}","MemberUniqueName{id='3087028_3087080', name='World Fuel Services Ord Shs'}",3087028_3087080,21817.43647,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.373540400,Test blend-202112310 - Copy.xml,3087028_3087080,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,World Fuel Services Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,10,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087041,"MemberUniqueName{id='3087028_3087041', name='ConocoPhillips Ord Shs'}","MemberUniqueName{id='3087028_3087041', name='ConocoPhillips Ord Shs'}",3087028_3087041,50352.22351,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.365541100,Test blend-202112310 - Copy.xml,3087028_3087041,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,ConocoPhillips Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,5,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087048,"MemberUniqueName{id='3087028_3087048', name='EQT Ord Shs'}","MemberUniqueName{id='3087028_3087048', name='EQT Ord Shs'}",3087028_3087048,128721.4028,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.361539600,Test blend-202112310 - Copy.xml,3087028_3087048,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,EQT Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,5,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087065,"MemberUniqueName{id='3087028_3087065', name='Ovintiv Ord Shs'}","MemberUniqueName{id='3087028_3087065', name='Ovintiv Ord Shs'}",3087028_3087065,98735.70291,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.348030200,Test blend-202112310 - Copy.xml,3087028_3087065,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Ovintiv Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,7,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087039,"MemberUniqueName{id='3087028_3087039', name='Clean Energy Fuels Ord Shs'}","MemberUniqueName{id='3087028_3087039', name='Clean Energy Fuels Ord Shs'}",3087028_3087039,304945.5562,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.366539400,Test blend-202112310 - Copy.xml,3087028_3087039,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Clean Energy Fuels Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,7,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087063,"MemberUniqueName{id='3087028_3087063', name='Oasis Petroleum Ord Shs'}","MemberUniqueName{id='3087028_3087063', name='Oasis Petroleum Ord Shs'}",3087028_3087063,9271.599973,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.350030900,Test blend-202112310 - Copy.xml,3087028_3087063,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,Oasis Petroleum Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,9,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087081,"MemberUniqueName{id='3087028_3087081', name='US DOLLAR FX SPOT'}","MemberUniqueName{id='3087028_3087081', name='US DOLLAR FX SPOT'}",3087028_3087081,-2520.975772,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.372540500,Test blend-202112310 - Copy.xml,3087028_3087081,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,US DOLLAR FX SPOT,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,9,2024-09-02
EQ-Oil & Gas exploration Fund,3087028_3087074,"MemberUniqueName{id='3087028_3087074', name='SM Energy Ord Shs'}","MemberUniqueName{id='3087028_3087074', name='SM Energy Ord Shs'}",3087028_3087074,141184.3264,false,false,false,false,false,false,N/A,N/A,N/A,portfolio,0.0,NaN,N/A,N/A,N/A,N/A,N/A,2024-11-20,2024-11-20T10:55:27.338025800,Test blend-202112310 - Copy.xml,3087028_3087074,EQ-Oil & Gas exploration Fund,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,SM Energy Ord Shs,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,_DATAMEMBER_,17,2024-09-02
