BaseHoldingId,PartitionKey,AsOfDate,HoldingName,PricedSecurityName,ProxySecurityName,Security,Haircut,HostName,LoadingStatus,LoadingMessages,OriginalAmount,clientMarketValue,clientMarketValueCCY,RMG_ProxySecurityName
3087028_3087080,10,2024-09-02,World Fuel Services Ord Shs,(102457:2583)-333,N/A,(102457:2583)-333,,PBK-IT-WL-GBnUP,SUCCESS,,21817.43647,,N/A,N/A
3087028_3087062,10,2024-09-02,Northern Oil and Gas Ord Shs,(102457:2583)-315,N/A,(102457:2583)-315,,PBK-IT-WL-GBnUP,SUCCESS,,37169.54852,,N/A,N/A
3087028_3087038,10,2024-09-02,Chevron Ord Shs,(102457:2583)-289,N/A,(102457:2583)-289,,PBK-IT-WL-GBnUP,SUCCESS,,28397.42224,,N/A,N/A
3087028_3087048,5,2024-09-02,EQT Ord Shs,(102457:2583)-301,N/A,(102457:2583)-301,,PBK-IT-WL-GBnUP,SUCCESS,,128721.4028,,N/A,N/A
3087028_3087041,5,2024-09-02,ConocoPhillips Ord Shs,(102457:2583)-293,N/A,(102457:2583)-293,,PBK-IT-WL-GBnUP,SUCCESS,,50352.22351,,N/A,N/A
3087028_3087039,7,2024-09-02,Clean Energy Fuels Ord Shs,(102457:2583)-291,N/A,(102457:2583)-291,,PBK-IT-WL-GBnUP,SUCCESS,,304945.5562,,N/A,N/A
3087028_3087065,7,2024-09-02,Ovintiv Ord Shs,(102457:2583)-318,N/A,(102457:2583)-318,,PBK-IT-WL-GBnUP,SUCCESS,,98735.70291,,N/A,N/A
3087028_3087081,9,2024-09-02,US DOLLAR FX SPOT,(102457:2583)-334,N/A,(102457:2583)-334,,PBK-IT-WL-GBnUP,SUCCESS,,-2520.975772,,N/A,N/A
3087028_3087063,9,2024-09-02,Oasis Petroleum Ord Shs,(102457:2583)-316,N/A,(102457:2583)-316,,PBK-IT-WL-GBnUP,SUCCESS,,9271.599973,,N/A,N/A
3087028_3087056,17,2024-09-02,Magnolia Oil Gas Ord Shs Class A,(102457:2583)-309,N/A,(102457:2583)-309,,PBK-IT-WL-GBnUP,SUCCESS,,69202.4571,,N/A,N/A
3087028_3087032,17,2024-09-02,Antero Resources Ord Shs,(102457:2583)-282,N/A,(102457:2583)-282,,PBK-IT-WL-GBnUP,SUCCESS,,211053.6363,,N/A,N/A
3087028_3087074,17,2024-09-02,SM Energy Ord Shs,(102457:2583)-327,N/A,(102457:2583)-327,,PBK-IT-WL-GBnUP,SUCCESS,,141184.3264,,N/A,N/A
3087028_3087076,15,2024-09-02,Talos Energy Ord Shs,(102457:2583)-329,N/A,(102457:2583)-329,,PBK-IT-WL-GBnUP,SUCCESS,,24325.76335,,N/A,N/A
3087028_3087057,15,2024-09-02,Marathon Oil Ord Shs,(102457:2583)-310,N/A,(102457:2583)-310,,PBK-IT-WL-GBnUP,SUCCESS,,225442.8471,,N/A,N/A
3087028_3087064,8,2024-09-02,Occidental Petroleum Ord Shs,(102457:2583)-317,N/A,(102457:2583)-317,,PBK-IT-WL-GBnUP,SUCCESS,,108857.5278,,N/A,N/A
3087028_3087066,6,2024-09-02,PBF Energy Ord Shs Class A,(102457:2583)-319,N/A,(102457:2583)-319,,PBK-IT-WL-GBnUP,SUCCESS,,158756.151,,N/A,N/A
3087028_3087040,6,2024-09-02,Cnx Resources Ord Shs,(102457:2583)-292,N/A,(102457:2583)-292,,PBK-IT-WL-GBnUP,SUCCESS,,149166.6524,,N/A,N/A
3087028_3087047,6,2024-09-02,EOG Resources Ord Shs,(102457:2583)-300,N/A,(102457:2583)-300,,PBK-IT-WL-GBnUP,SUCCESS,,35934.73768,,N/A,N/A
3087028_3087034,14,2024-09-02,CVR Energy Ord Shs,(102457:2583)-285,N/A,(102457:2583)-285,,PBK-IT-WL-GBnUP,SUCCESS,,40651.97678,,N/A,N/A
3087028_3087058,14,2024-09-02,Marathon Petroleum Ord Shs,(102457:2583)-311,N/A,(102457:2583)-311,,PBK-IT-WL-GBnUP,SUCCESS,,48912.31374,,N/A,N/A
3087028_3087046,19,2024-09-02,Diamondback Energy Ord Shs,(102457:2583)-299,N/A,(102457:2583)-299,,PBK-IT-WL-GBnUP,SUCCESS,,34832.38283,,N/A,N/A
3087028_3087072,19,2024-09-02,Range Resources Ord Shs,(102457:2583)-325,N/A,(102457:2583)-325,,PBK-IT-WL-GBnUP,SUCCESS,,176531.296,,N/A,N/A
3087028_3087054,19,2024-09-02,Kosmos Energy Ord Shs,(102457:2583)-307,N/A,(102457:2583)-307,,PBK-IT-WL-GBnUP,SUCCESS,,338565.1622,,N/A,N/A
3087028_3087030,19,2024-09-02,APA Ord Shs,(102457:2583)-280,N/A,(102457:2583)-280,,PBK-IT-WL-GBnUP,SUCCESS,,132611.8303,,N/A,N/A
3087028_3087059,13,2024-09-02,Matador Resources Ord Shs,(102457:2583)-312,N/A,(102457:2583)-312,,PBK-IT-WL-GBnUP,SUCCESS,,74208.62189,,N/A,N/A
3087028_3087035,13,2024-09-02,Cabot Oil & Gas Ord Shs,(102457:2583)-286,N/A,(102457:2583)-286,,PBK-IT-WL-GBnUP,SUCCESS,,166964.2096,,N/A,N/A
