pricedSecurityName,delta,gamma,currency,equityDomicileCcy,allFxCcy,positionType,calibratedModelType
ccy://RMG/NLG,na,na,NLG,N/A,NLG,Cash,Cash
ccy://RMG/SRMUSD,na,na,SRMUSD,N/A,SRMUSD,Cash,Cash
ccy://RMG/DXY,na,na,DXY,N/A,DXY,Cash,Cash
ccy://RMG/JPZ1,na,na,JPZ1,N/A,JPZ1,Cash,Cash
ccy://RMG/XBTUSD,na,na,XBTUSD,N/A,XBTUSD,Cash,Cash
ccy://RMG/IDR.BH,na,na,IDR.BH,N/A,IDR.BH,Cash,Cash
ccy://RMG/BDT,na,na,BDT,N/A,BDT,Cash,Cash
ccy://RMG/XPD,na,na,XPD,N/A,XPD,Cash,Cash
ccy://RMG/UZS,na,na,UZS,N/A,UZS,Cash,Cash
ccy://RMG/XPF,na,na,XPF,N/A,XPF,Cash,Cash
ccy://RMG/THB,na,na,THB,N/A,THB,Cash,Cash
ccy://RMG/KWD,na,na,KWD,N/A,KWD,Cash,Cash
ccy://RMG/THO,na,na,THO,N/A,THO,Cash,Cash
ccy://RMG/ISK,na,na,ISK,N/A,ISK,Cash,Cash
ccy://RMG/BEF,na,na,BEF,N/A,BEF,Cash,Cash
ccy://RMG/XPT,na,na,XPT,N/A,XPT,Cash,Cash
ccy://RMG/RUB,na,na,RUB,N/A,RUB,Cash,Cash
ccy://RMG/MYR,na,na,MYR,N/A,MYR,Cash,Cash
ccy://RMG/UYU,na,na,UYU,N/A,UYU,Cash,Cash
ccy://RMG/XOF,na,na,XOF,N/A,XOF,Cash,Cash
ccy://RMG/KES,na,na,KES,N/A,KES,Cash,Cash
ccy://RMG/SEK,na,na,SEK,N/A,SEK,Cash,Cash
ccy://RMG/OMR,na,na,OMR,N/A,OMR,Cash,Cash
ccy://RMG/XWNUSD,na,na,XWNUSD,N/A,XWNUSD,Cash,Cash
ccy://RMG/MZN,na,na,MZN,N/A,MZN,Cash,Cash
ccy://RMG/SVC,na,na,SVC,N/A,SVC,Cash,Cash
ccy://RMG/QAR,na,na,QAR,N/A,QAR,Cash,Cash
ccy://RMG/ARS,na,na,ARS,N/A,ARS,Cash,Cash
ccy://RMG/BTN,na,na,BTN,N/A,BTN,Cash,Cash
ccy://RMG/GNF,na,na,GNF,N/A,GNF,Cash,Cash
ccy://RMG/XAUSHA,na,na,XAUSHA,N/A,XAUSHA,Cash,Cash
ccy://RMG/XSSUSD,na,na,XSSUSD,N/A,XSSUSD,Cash,Cash
ccy://RMG/AUD,na,na,AUD,N/A,AUD,Cash,Cash
ccy://RMG/TZS,na,na,TZS,N/A,TZS,Cash,Cash
ccy://RMG/XAU,na,na,XAU,N/A,XAU,Cash,Cash
ccy://RMG/VND,na,na,VND,N/A,VND,Cash,Cash
ccy://RMG/BWP,na,na,BWP,N/A,BWP,Cash,Cash
ccy://RMG/CYP,na,na,CYP,N/A,CYP,Cash,Cash
ccy://RMG/KHR,na,na,KHR,N/A,KHR,Cash,Cash
ccy://RMG/IDR,na,na,IDR,N/A,IDR,Cash,Cash
ccy://RMG/KYD,na,na,KYD,N/A,KYD,Cash,Cash
ccy://RMG/RWF,na,na,RWF,N/A,RWF,Cash,Cash
ccy://RMG/NEAUSD,na,na,NEAUSD,N/A,NEAUSD,Cash,Cash
ccy://RMG/AED,na,na,AED,N/A,AED,Cash,Cash
ccy://RMG/TJS,na,na,TJS,N/A,TJS,Cash,Cash
ccy://RMG/NZD8,na,na,NZD8,N/A,NZD8,Cash,Cash
ccy://RMG/MKD,na,na,MKD,N/A,MKD,Cash,Cash
ccy://RMG/PAB,na,na,PAB,N/A,PAB,Cash,Cash
ccy://RMG/SGD,na,na,SGD,N/A,SGD,Cash,Cash
ccy://RMG/DZD,na,na,DZD,N/A,DZD,Cash,Cash
ccy://RMG/CAD9,na,na,CAD9,N/A,CAD9,Cash,Cash
ccy://RMG/KGS,na,na,KGS,N/A,KGS,Cash,Cash
ccy://RMG/CNY.BH,na,na,CNY.BH,N/A,CNY.BH,Cash,Cash
ccy://RMG/USCUSD,na,na,USCUSD,N/A,USCUSD,Cash,Cash
ccy://RMG/HRK,na,na,HRK,N/A,HRK,Cash,Cash
ccy://RMG/ITL,na,na,ITL,N/A,ITL,Cash,Cash
ccy://RMG/CHF,na,na,CHF,N/A,CHF,Cash,Cash
ccy://RMG/ATS,na,na,ATS,N/A,ATS,Cash,Cash
