HoldingId,PartitionKey,AsOfDate,ResultValuesSum(1Y VS),ResultValuesPassthrough(1Y VS),AGGSVC_SIMRETURNS(1Y VS)_MONTECARLO
3087028_3087080,10,2024-09-02,"doubleVector[3]{577507.5433609, ...}",,
3087028_3087062,10,2024-09-02,"doubleVector[3]{764949.3085415999, ...}",,
3087028_3087038,10,2024-09-02,"doubleVector[3]{3332437.499864, ...}",,
3087028_3087048,5,2024-09-02,"doubleVector[3]{2807413.795068, ...}",,
3087028_3087041,5,2024-09-02,"doubleVector[3]{3634423.4929518006, ...}",,
3087028_3087039,7,2024-09-02,"doubleVector[3]{1869316.259506, ...}",,
3087028_3087065,7,2024-09-02,"doubleVector[3]{3327393.1880670004, ...}",,
3087028_3087081,9,2024-09-02,"doubleVector[3]{-2520.975772, ...}",,
3087028_3087063,9,2024-09-02,"doubleVector[3]{1168128.88059827, ...}",,
3087028_3087056,17,2024-09-02,"doubleVector[3]{1305850.3654770001, ...}",,
3087028_3087032,17,2024-09-02,"doubleVector[3]{3693438.6352500003, ...}",,
3087028_3087074,17,2024-09-02,"doubleVector[3]{4162113.942272, ...}",,
3087028_3087076,15,2024-09-02,"doubleVector[3]{238392.48083000001, ...}",,
3087028_3087057,15,2024-09-02,"doubleVector[3]{3701771.5493820007, ...}",,
3087028_3087064,8,2024-09-02,"doubleVector[3]{3155779.7309219996, ...}",,
3087028_3087066,6,2024-09-02,"doubleVector[3]{2059067.2784700003, ...}",,
3087028_3087040,6,2024-09-02,"doubleVector[3]{2051041.4704999998, ...}",,
3087028_3087047,6,2024-09-02,"doubleVector[3]{3192082.7481143996, ...}",,
3087028_3087034,14,2024-09-02,"doubleVector[3]{683359.7296717999, ...}",,
3087028_3087058,14,2024-09-02,"doubleVector[3]{3129898.9562226, ...}",,
3087028_3087046,19,2024-09-02,"doubleVector[3]{3756672.4882155, ...}",,
3087028_3087072,19,2024-09-02,"doubleVector[3]{3147553.00768, ...}",,
3087028_3087054,19,2024-09-02,"doubleVector[3]{1171435.461212, ...}",,
3087028_3087030,19,2024-09-02,"doubleVector[3]{3565932.116767, ...}",,
3087028_3087059,13,2024-09-02,"doubleVector[3]{2739782.3201788, ...}",,
3087028_3087035,13,2024-09-02,"doubleVector[3]{3172319.9824, ...}",,
3087028_3087077,13,2024-09-02,"doubleVector[3]{757962.344524, ...}",,
3087028_3087060,12,2024-09-02,"doubleVector[3]{3302474.850675, ...}",,
3087028_3087078,12,2024-09-02,"doubleVector[3]{2839434.5092029, ...}",,
3087028_3087051,2,2024-09-02,"doubleVector[3]{1738585.6562931999, ...}",,
3087028_3087069,2,2024-09-02,"doubleVector[3]{2446728.759865, ...}",,
3087028_3087043,2,2024-09-02,"doubleVector[3]{658058.6063968, ...}",,
3087028_3087045,0,2024-09-02,"doubleVector[3]{4517972.52415, ...}",,
3087028_3087071,0,2024-09-02,"doubleVector[3]{107933.396928, ...}",,
3087028_3087053,0,2024-09-02,"doubleVector[3]{2899443.2008388, ...}",,
3087028_3087055,18,2024-09-02,"doubleVector[3]{963275.1547034, ...}",,
3087028_3087031,18,2024-09-02,"doubleVector[3]{837955.365988, ...}",,
3087028_3087073,18,2024-09-02,"doubleVector[3]{1982598.4197371998, ...}",,
3087028_3087061,11,2024-09-02,"doubleVector[3]{723216.6445472001, ...}",,
3087028_3087079,11,2024-09-02,"doubleVector[3]{1873810.3365828001, ...}",,
3087028_3087052,1,2024-09-02,"doubleVector[3]{2515003.9535951, ...}",,
3087028_3087049,4,2024-09-02,"doubleVector[3]{3034316.3345905, ...}",,
3087028_3087050,3,2024-09-02,"doubleVector[3]{1697628.524408, ...}",,
3087028_3087068,3,2024-09-02,"doubleVector[3]{353394.28446199995, ...}",,
