pricedSecurityName,PartitionKey,AsOfDate,FxHedgingPercent,EnrichmentStatus,InputModel,OutputModel,EnrichmentInputId,EnrichmentInputIdType,EnrichmentMessages,RMG_SecurityIsProxied,SecurityUpdateTimestamp,IsFxModel
ccy://RMG/SUS1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SUS1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/ZMW,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/BOCARS,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""BOCARS""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/DKK4,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DKK4""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AUD4,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUD4""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AUD_SL,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AUD_SL""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/SAVE1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""SAVE1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/KRW,16,2024-09-02,NaN,Success,cashModel,cashModel,N/A,N/A,,false,2024-11-20T10:55:10.533748500,false
ccy://RMG/DOT1,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""DOT1""",false,2024-11-20T10:55:10.533748500,false
ccy://RMG/AK13,16,2024-09-02,NaN,Error,cashModel,cashModel,N/A,N/A,"Used unpermissioned time series of type Currency named ""AK13""",false,2024-11-20T10:55:10.533748500,false
