SecurityName,Valspec,AsOfDate,ResultType,ResultValuesSum,ResultValuesPassthrough
ccy://RMG/LVL,1Y VS,2024-09-02,STANDARD,1.575051189164;1.0;1.575051189164,
ccy://RMG/MAD,1Y VS,2024-09-02,STANDARD,0.102338433199;1.0;0.102338433199,
ccy://RMG/TTD,1Y VS,2024-09-02,STANDARD,0.148653570287;1.0;0.148653570287,
(102457:2583)-285,1Y VS,2024-09-02,STANDARD,16.81;16.81;16.81,
ccy://RMG/ILS,1Y VS,2024-09-02,STANDARD,0.273845058466;1.0;0.273845058466,
ccy://RMG/MDL,1Y VS,2024-09-02,STANDARD,0.057421762848;1.0;0.057421762848,
(102457:2583)-286,1Y VS,2024-09-02,STANDARD,19.0;19.0;19.0,
ccy://RMG/TWD,1Y VS,2024-09-02,STANDARD,0.03121829392;1.0;0.03121829392,
ccy://RMG/LUF,1Y VS,2024-09-02,STANDARD,0.027440573725;1.0;0.027440573725,
ccy://RMG/XOUUSD,1Y VS,2024-09-02,STANDARD,9.16;1.0;9.16,
ccy://RMG/DKK,1Y VS,2024-09-02,STANDARD,0.148407586596;1.0;0.148407586596,
ccy://RMG/GRD,1Y VS,2024-09-02,STANDARD,0.003248569332;1.0;0.003248569332,
ccy://RMG/KMF,1Y VS,2024-09-02,STANDARD,0.002250045788;1.0;0.002250045788,
ccy://RMG/BOB,1Y VS,2024-09-02,STANDARD,0.144717800289;1.0;0.144717800289,
ccy://RMG/XDTUSD,1Y VS,2024-09-02,STANDARD,5.3523667;1.0;5.3523667,
ccy://RMG/MXV1,1Y VS,2024-09-02,STANDARD,0.34088662;1.0;0.34088662,
ccy://RMG/BRL,1Y VS,2024-09-02,STANDARD,0.17733955204;1.0;0.17733955204,
ccy://RMG/NEAUSD,1Y VS,2024-09-02,STANDARD,1.6665;1.0;1.6665,
ccy://RMG/KRW,1Y VS,2024-09-02,STANDARD,7.47160789E-4;1.0;7.47160789E-4,
ccy://RMG/OE1USD,1Y VS,2024-09-02,STANDARD,2147.22;1.0;2147.22,
ccy://RMG/SGD,1Y VS,2024-09-02,STANDARD,0.765110941086;1.0;0.765110941086,
ccy://RMG/THB,1Y VS,2024-09-02,STANDARD,0.029244041527;1.0;0.029244041527,
ccy://RMG/HKD,1Y VS,2024-09-02,STANDARD,0.128256924271;1.0;0.128256924271,
ccy://RMG/EUZ1,1Y VS,2024-09-02,STANDARD,1.095100162;1.0;1.095100162,
ccy://RMG/BHD,1Y VS,2024-09-02,STANDARD,2.652871733652;1.0;2.652871733652,
ccy://RMG/RON,1Y VS,2024-09-02,STANDARD,0.222526341556;1.0;0.222526341556,
ccy://RMG/NLG,1Y VS,2024-09-02,STANDARD,0.502311987407;1.0;0.502311987407,
(102457:2583)-315,1Y VS,2024-09-02,STANDARD,20.58;20.58;20.58,
(102457:2583)-333,1Y VS,2024-09-02,STANDARD,26.47;26.47;26.47,
ccy://RMG/CNH,1Y VS,2024-09-02,STANDARD,0.140511602746;1.0;0.140511602746,
ccy://RMG/MGA,1Y VS,2024-09-02,STANDARD,2.19851249E-4;1.0;2.19851249E-4,
ccy://RMG/CDF,1Y VS,2024-09-02,STANDARD,3.51123596E-4;1.0;3.51123596E-4,
ccy://RMG/BMD,1Y VS,2024-09-02,STANDARD,1.0;1.0;1.0,
ccy://RMG/NIKKEI,1Y VS,2024-09-02,STANDARD,148.0954428;1.0;148.0954428,
ccy://RMG/GTQ,1Y VS,2024-09-02,STANDARD,0.129493421734;1.0;0.129493421734,
ccy://RMG/BBD,1Y VS,2024-09-02,STANDARD,0.5;1.0;0.5,
ccy://RMG/MKD,1Y VS,2024-09-02,STANDARD,0.017985611511;1.0;0.017985611511,
(102457:2583)-325,1Y VS,2024-09-02,STANDARD,17.83;17.83;17.83,
ccy://RMG/SAR,1Y VS,2024-09-02,STANDARD,0.266481905879;1.0;0.266481905879,
ccy://RMG/HRK,1Y VS,2024-09-02,STANDARD,0.146917307593;1.0;0.146917307593,
ccy://RMG/PHAUSD,1Y VS,2024-09-02,STANDARD,0.1521051;1.0;0.1521051,
(102457:2583)-334,1Y VS,2024-09-02,STANDARD,1.0;1.0;1.0,
(102457:2583)-322,1Y VS,2024-09-02,STANDARD,72.46;72.46;72.46,
ccy://RMG/XETUSD,1Y VS,2024-09-02,STANDARD,1181.5;1.0;1181.5,
ccy://RMG/CAD,1Y VS,2024-09-02,STANDARD,0.741042647004;1.0;0.741042647004,
ccy://RMG/AZN,1Y VS,2024-09-02,STANDARD,0.588235294118;1.0;0.588235294118,
