AsOf,TradeId,TradeDate,CounterpartyId
2019-01-01,1,2018-06-08,Cpty_1
2019-01-01,2,2018-07-02,Cpty_1
2019-01-01,3,2018-08-23,Cpty_2
2019-01-01,4,2018-09-20,Cpty_2
2019-01-01,5,2018-10-03,Cpty_3
2019-01-02,1,2018-06-08,Cpty_1
2019-01-02,2,2018-07-02,Cpty_1
2019-01-02,3,2018-08-23,Cpty_2
2019-01-02,4,2018-09-20,Cpty_2
2019-01-02,5,2018-10-03,Cpty_3
2019-01-03,1,2018-06-08,Cpty_1
2019-01-03,2,2018-07-02,Cpty_1
2019-01-03,3,2018-08-23,Cpty_2
2019-01-03,4,2018-09-20,Cpty_2
2019-01-03,5,2018-10-03,Cpty_3
2019-01-04,1,2018-06-08,Cpty_1
2019-01-04,2,2018-07-02,Cpty_1
2019-01-04,3,2018-08-23,Cpty_2
2019-01-04,4,2018-09-20,Cpty_2
2019-01-04,5,2018-10-03,Cpty_3
